Date,2 Yr,10 Yr
04/18/13,0.24,1.72
04/19/13,0.24,1.73
04/22/13,0.24,1.72
04/23/13,0.23,1.74
04/24/13,0.23,1.73
04/25/13,0.23,1.74
04/26/13,0.22,1.7
04/29/13,0.2,1.7
04/30/13,0.22,1.7
05/01/13,0.2,1.66
05/02/13,0.2,1.66
05/03/13,0.22,1.78
05/06/13,0.22,1.8
05/07/13,0.22,1.82
05/08/13,0.22,1.81
05/09/13,0.22,1.81
05/10/13,0.26,1.9
05/13/13,0.24,1.92
05/14/13,0.26,1.96
05/15/13,0.26,1.94
05/16/13,0.23,1.87
05/17/13,0.26,1.95
05/20/13,0.26,1.97
05/21/13,0.26,1.94
05/22/13,0.26,2.03
05/23/13,0.26,2.02
05/24/13,0.26,2.01
05/28/13,0.29,2.15
05/29/13,0.3,2.13
05/30/13,0.31,2.13
05/31/13,0.3,2.16
06/03/13,0.3,2.13
06/04/13,0.32,2.14
06/05/13,0.3,2.1
06/06/13,0.3,2.08
06/07/13,0.32,2.17
06/10/13,0.32,2.22
06/11/13,0.34,2.2
06/12/13,0.34,2.25
06/13/13,0.32,2.19
06/14/13,0.29,2.14
06/17/13,0.27,2.19
06/18/13,0.27,2.2
06/19/13,0.31,2.33
06/20/13,0.33,2.41
06/21/13,0.38,2.52
06/24/13,0.42,2.57
06/25/13,0.43,2.6
06/26/13,0.39,2.55
06/27/13,0.36,2.49
06/28/13,0.36,2.52
07/01/13,0.34,2.5
07/02/13,0.34,2.48
07/03/13,0.36,2.52
07/05/13,0.4,2.73
07/08/13,0.37,2.65
07/09/13,0.37,2.65
07/10/13,0.38,2.7
07/11/13,0.34,2.6
07/12/13,0.37,2.61
07/15/13,0.34,2.57
07/16/13,0.34,2.55
07/17/13,0.32,2.52
07/18/13,0.32,2.56
07/19/13,0.32,2.5
07/22/13,0.32,2.5
07/23/13,0.33,2.53
07/24/13,0.34,2.61
07/25/13,0.32,2.61
07/26/13,0.31,2.58
07/29/13,0.33,2.61
07/30/13,0.33,2.63
07/31/13,0.31,2.6
08/01/13,0.35,2.74
08/02/13,0.3,2.63
08/05/13,0.32,2.67
08/06/13,0.32,2.67
08/07/13,0.32,2.61
08/08/13,0.3,2.58
08/09/13,0.32,2.57
08/12/13,0.32,2.61
08/13/13,0.34,2.71
